LIEU,nb_journees,nb_evenements,nb_types_concours,date_debut,date_fin,nb_chevaux_uniques,note_globale_moyenne,nb_lignes_detail,geocode_query,geocode_status,latitude,longitude,nb_lignes_ar,nb_lignes_arbe,total_lignes_ar_arbe,part_ar_pct,part_arbe_pct,nb_evenements_ar,nb_evenements_arbe
HARAS NATIONAL DE MEKNES,7,7,3,2025-06-09,2025-06-19,1063,77.16,11175,"Meknes, Morocco",ok,33.8984131,-5.5321582,1635,6840,8475,19.29,80.71,1,5
HARAS NATIONAL D EL JADIDA,5,5,5,2025-06-28,2025-07-26,728,169.85,11110,"Haras National, El Jadida, Morocco",ok,33.2440832,-8.4767251,6160,3130,9290,66.31,33.69,3,1
HARAS NATIONAL DE BOUZNIKA,3,3,3,2025-07-05,2025-07-07,711,80.31,7595,"Bouznika, Morocco",ok,33.781005,-7.1610294,1455,3940,5395,26.97,73.03,1,1
HARAS NATIONAL DE MARRAKECH,3,3,3,2025-06-21,2025-06-24,499,84.56,5370,"Marrakech, Morocco",ok,31.6258257,-7.9891608,1110,2410,3520,31.53,68.47,1,1
HARAS NATIONAL D OUJDA,2,2,2,2025-07-17,2025-07-18,359,55.22,3590,"Oujda, Morocco",ok,34.677874,-1.929306,0,1860,1860,0.0,100.0,0,1
FQUIH BEN SALAH,1,1,1,2025-07-11,2025-07-11,293,45.01,2930,"Fquih Ben Salah, Morocco",ok,32.4212148,-6.7470785,0,2930,2930,0.0,100.0,0,1
CPEE DE SEBT GZOULA,1,1,1,2025-06-05,2025-06-05,219,55.49,2190,"Sebt Gzoula, Morocco",ok,32.108297,-9.084263,0,2190,2190,0.0,100.0,0,1
CPEE DE GUERCIF,1,1,1,2025-07-20,2025-07-20,206,49.78,2060,"Guercif, Morocco",ok,34.225576,-3.352345,0,2060,2060,0.0,100.0,0,1
CPEE DE MISSOUR,1,1,1,2025-07-23,2025-07-23,159,50.91,1590,"Missour, Morocco",ok,33.047057,-3.992578,0,1590,1590,0.0,100.0,0,1
CPEE DE AIN BENI MATHAR,1,1,1,2025-07-15,2025-07-15,146,48.68,1460,"Ain Beni Mathar, Jerada Province, Morocco",ok,34.0163901,-2.025809,0,1460,1460,0.0,100.0,0,1
AGADIR,1,1,1,2025-06-03,2025-06-03,115,58.68,1150,"Agadir, Morocco",ok,30.4205162,-9.5838532,0,1150,1150,0.0,100.0,0,1
